service_name,service_category
"Silk Press (Natural Hair), Deep Conditioning Treatment, New Client Consultation",Hair Treatments
"Women's Brazilian & Underarm Wax, Full Leg Wax",Waxing
5 Lipo 360 treatments. Save $50,Massage
"Brazilian wax, face wax",Waxing
"Balayage / Ombre, Women's Cut",Women's Haircut
"Virgin Relaxer, Clipping ends",Relaxers
"Bleach Root, Cocktail Bleach Wash, Root Shadow, Extra Bowl of Lightener",Hair Color
"Blowout, Color demi/semi permanent",Style
Silk Press / Blow Out & Curl,Natural Hair
Eyelash 1 week ReFill  (Cash Only),Eyelashes
"Braids With natural hair, Women's Trim","Braids, Women's Haircut"
"Base break, Women's Cut",Women's Haircut
2nd Single Loyalty Massage,Massage
"Weave take downs, Shampoo and Silk Wrap, Tracking / Single Track Sew-In","Sets & Styles, Weaves"
"Mink Lash Fill, Eyebrow Threading or Wax","Eyelashes, Eyebrows"
"Advanced Exfoliation Facial, Intensive Lash Tint, Brow Wax, Lip Wax, Under Arm Wax","Skincare, Eyebrows, Waxing"
GROUPON Brazilian Wax(valid for 1st time guest ONLY),Waxing
6 HOUR One on One makeup lesson,Makeup
Base Re-touch,Hair Color
Sewin w/ Lace Closure,Weaves
"3-4 week Re-Up ""Lash Fill""",Eyelashes
"Thermal Style, Custom Extensions color",Style
"Shampoo and Style, Shaping",Sets & Styles
"All over color, Half  foil highlights (half head), Women's haircut, Olaplex! upgrade add to color service, Malibu treatment","Hair Color, Hair Treatments"
Retwist Top Locs,Locs
"Chemical Service Haircut, Eye Brow Wax",Eyebrows
Photo Shoot Makeup,Makeup
"Full Set, Medium , w/ GEL POLISH, 3D Acrylic Flowers, Chrome Nail (individual)",Manicure
"Women's cut, Women's shape up",Women's Haircut
Lash  Fill,Eyelashes
Quick Weave Blunt Bob,Weaves
Feed-in Braids/Box Braids,Braids
"Feet polish, Acrylic  Overlay",Manicure
Light Beat/Natural!,Makeup
Jumbo lemonades,Braids
"Gel Overlay, Women's Cut","Manicure, Women's Haircut"
"Gray Blending (Men), Men's cut",Men's Haircut
"Women's Cut, Brazillian Bond Builder Semi Permanent conditioning treatment",Women's Haircut
"Root Touch-Up (single color), Cut w/ chemical service, Eyebrow Wax",Women's Haircut
Full highlight & Blow Dry Long Hair,Highlights
"Balayage Retouch, Women's Trim","Highlights, Women's Haircut"
"Women's Cut, Full Color, Toner/ Extra Color Bowls",Women's Haircut
Refill,Manicure
Razor Edge Shape Up / Beard,Barber
"Color Retouch, Partial highlights",Highlights
"Kids haircut 10&under, Eyebrow wax",Eyebrows
"Fill In, Cut Down / Re-Shape, Matte",Manicure
"Relaxer, Retouch",Relaxers
NEW Client Classic Extensions,Eyelashes
Men's Shear Cut,Men's Haircut
FULL Service Haircut,"Barber, Men's Haircut, Style"
"Haircut and style, 2 week -  Fill","Women's Haircut, Eyelashes"
"Root Touch Up, 10 Foil Highlights, Toner",Hair Color
"Dreadlocks Retwist, Permanent Color with service",Locs
"Women's Cut, Reconstructing treatment",Women's Haircut
"Basic Color, Womens Haircut, Balayage",Highlights
"Bleach touch up, Toner, Haircut",Hair Color
Full Crochet Braids,Braids
Half up/ half down Quick Weave,Weaves
Sew in with closure,Extensions
5under braids,Braids
"haircut, demi/semi/glaze, eyebrow tint",Eyebrows
Colored Acrylic Fill no art,Manicure
QuickWeave 10in cutie bob Hair included Mon-Friday,Women's Haircut
Men's Cut Beard Trim w/Razor Lining,Men's Haircut
Mixed fill- 2 week,Eyelashes
"Part highlights, Bang trim",Women's Haircut
Partial Foil and Style,Highlights
Men’s twists,Braids
"Women's Cut, Blow dry add on",Women's Haircut
"Pedicure, Acrylic Fill with Gel Polish","Pedicure, Manicure"
Black Friday Lash Lift,Eyelashes
"Sideburns, Brazilian Wax",Waxing
Child Relaxer,Chemical Perms
Line Up & Beard Trim,Barber
Beard Trim/ Line Up,Barber
"Kids Cut (12 and Under), Line Up",Barber
"Women's Cut, Full foil, Touch up",Women's Haircut
"highlights, Toner, Olaplex in color treatment, Wet cut or trim w chemical service","Hair Color, Hair Treatments"
"Color touch up, Men's Cut",Men's Haircut
Women's Standard  Cut,Women's Haircut
Highlights and haircut,"Highlights, Women's Haircut"
"Essential pedicure, Shellac",Manicure
cap weave,Extensions
Eyelash Fill 2 weeks,Eyelashes
"Partial Highlights, Women's Cut",Women's Haircut
Partial Braids (top),Braids
SILK THAIRAPY,Natural Hair
"Acrylic Fill in, Gel Polish on acrylic service, Express Pedicure, Nail Art",Manicure
"Full Highlight, Men's Cut, Haircut Blow Out",Men's Haircut
"Relaxer Retouch, Demi-Permanent, Reshape Haircut",Relaxers
"Women's Cut, Boy Childs Cut, Girl Childs Cut, Partial Highlights","Women's Haircut, Highlights"
"Virgin Relaxer, All Over Color","Relaxers, Hair Color"
"Partial highlight, Base break / toner -add on, Brow Wax, Haircut with color",Eyebrows
"Eyebrow Shape & Tint, Deluxe Flawless Facial",Skincare
"Underarm Wax, Full Leg Wax",Waxing
Full Hi lights,Highlights
"Hair cut and partial foil, Eyebrow wax, Lip wax","Eyebrows, Waxing"
"Silk-Press, Hair trim on dry hair, Hair style take  down",Natural Hair
Two Feed In’s,Braids
Bottom Lashes Refill,Eyelashes
"Brazilian Touch-Up(4 weeks & under), Underarm, Brow Wax",Eyebrows
Creative Fashion Color,Hair Color
Foil Highlight All over with cut,Highlights
Box Braids & Feed Ins,Braids
All Over Color & Blow-dry,Hair Color
Hybrid Lash full set,Eyelashes
"Flexi Rod Set, Trim",Women's Haircut
"All Over Highlights, Women's Cut",Women's Haircut
"WOMENS HAIRCUT ADD ON TO ANY, PARTIAL HIGHLIGHTS",Highlights
"Silk Press, semi/refresher color added",Natural Hair
"Double Process Color, Shine Treatment",Hair Color
Silk Press and Trim,Sets & Styles
"Silk Press, Sew In Take Down",Natural Hair
Mens Mohawk Haircut,Special Occasion Style
"Refill, Gel Polish, Designs per nail",Manicure
Loc Maintenance ONLY!!! NO STYLE,Locs
"SHELLAC MANICURE, TAKE OFF SHELLAC(HANDS)",Manicure
"Trim, Partial Hilights",Highlights
"Signature blowout, Eye brow wax, ends trim","Natural Hair, Style, Eyebrows, Women's Haircut"
"Deep Conditioner, Wash and  Blow Dry",Hair Treatments
3wk hybrid Fill,Eyelashes
Jumbo Box Braids (Bra Strap Length),Braids
"Touch Up Color, Women's Haircut, +add on Toner",Hair Color
"Eyelash Extensions, Eyelash Fill",Eyelashes
"Silk Blowout, Moisture Replenish Treatment, Semi Permanent Color, Hair Mending Treatment",Hair Color
CRIMPS OR RECURL,Women's Haircut
"All Over Color, Partial Balayage","Hair Color, Highlights"
Drama Queen Full Set,Eyelashes
"Eyebrow Wax, Underarm Wax, Bikini Wax","Eyebrows, Waxing"
"Full traditional highlight, Toner",Hair Color
"Brazilian Blowout, Haircut",Straightening Treatments
"Acrylic Fill in, Polish change",Manicure
"Nose, Brow Wax, Chin or Lip",Eyebrows
"Single Process Color, Full Highlight",Hair Color
"Relaxer retouch, Roller Set & Blowout","Relaxers, Sets & Styles"
AFTER WEEK PRIOR CLEAN-UP,"Barber, Men's Haircut"
"Semi/Demi, Relaxer Retouch",Relaxers
Trade Facial,Skincare
"Bikini Full, Brow Wax, Butt Full","Waxing, Eyebrows"
"Eyebrow waxing, Lip Wax",Waxing
"Olaplex, LOMA fortify repair tonic, LOMA moisturizing shampoo, LOMA moisturizing conditioner",Hair Color
"Womens Haircut, Full Balayage",Highlights
"Brow, lip + chin wax","Eyebrows, Waxing"
"European Facial, Brow Wax, Brow tint",Eyebrows
2 row touch up around crown,Braids
"Acrylic Fill, Polish Change",Manicure
"Weave Tightening, Retouch Hair Color, Cellophane, Deep Conditioning Treatment","Weaves, Hair Treatments"
"FULL SEW IN WITH LEAVE OUT, PARTIAL COLOR",Hair Color
"Root Touch Up, Olaplex Treatment, Toner/Gloss, Women's Haircut & Blowdry","Hair Color, Hair Treatments"
Volume Full-Set,Eyelashes
"One Basic Color, Women's Cut",Women's Haircut
Chemical Romance (peel),Skincare
"Balayage, Haircut-no wash or style",Highlights
Full set Acrylic color,Manicure
"Hair Cut, Thermal  Add-On","Women's Haircut, Style"
Classic Basic Lash Fill,Eyelashes
"Retouch, Full Foil Highlights",Highlights
"Quick Color Refresh (Toner), Women's Cut +Shampoo,& Style","Hair Color, Style, Women's Haircut"
Volume Set- Eyelash Fill (2 WEEKS ONLY),Eyelashes
"Woman's Cut, Keratin Treatment",Straightening Treatments
Multi Process Color Service,Hair Color
"Hair glaze treatment as color service, Women's Hair Cut & Style","Highlights, Women's Haircut, Hair Color, Hair Treatments"
"Bleach touch up, Toner, Women's Haircut",Hair Color
"Relaxer Re-Touch, STS Smoothing System",Relaxers
Lace Frontal Sew In,Weaves
"Basic Organic Facial, Gel Manicure",Manicure
Shampoo & Go,Natural Hair
"SEMI PERMANENT COLOR, NATURAL BLOW OUT / natural hair",Hair Color
"VIP Polished Mani and Pedi, Nail repair",Manicure
Eyebrow Wax & Tint,Waxing
"Full Balayage, Extensions Move-up, Color Re-Touch","Highlights, Extensions"
"Shampoo,Blowdry/ Styling/Silk Press","Natural Hair, Sets & Styles, Style"
Box Braids(Small),Braids
"Silk Press (all natural), Heated deep conditioner","Style, Hair Treatments"
Thick 3 Week Fill,Eyelashes
"Silk Press / Blow Out  13 and Above, Hair Trim","Natural Hair, Women's Haircut"
"Brazilian Wax, Sideburn Wax, Girl's eyebrow (age 14 & under)",Waxing
braided updo,Braids
"Acrylic Overlay, Extended Stay",Manicure
"Men even cut & shave, Kid's fade 12&UNDER",Barber
Men's Fade and beard trim,"Barber, Men's Haircut"
Acrylic Fill & Gel Polish,Manicure
Small Braids Updo Ponytail,Braids
Locs re-twist and style,Locs
LashArt volume  Flutter set,Eyelashes
3 Goddess Braids,Braids
"Wax-Chin, Wax-1/2 Leg, Skincare analysis",Skincare
"Acne Clearing, Chemical Peel, Half  Back Peel",Skincare
"Focus Highlight & Color T-up, Men's Cut",Men's Haircut
"Love My Hair (new clients), No. 2","Natural Hair, Women's Haircut"
"Color Retouch and Cut, Partial Highlights",Highlights
Box Braids medium size shoulder lenght,Braids
"Permanent Color (Full), Natural Hair Blow Out & Curl, Pincurl, Trim Only",Women's Haircut
"Soak Off {gel polish}, Classic Gelpolish Manicure, Natural nail treatment (ibx), Polish Change, Design","Manicure, Barber"
Balayage/Ombre',Highlights
Eyebrow Threading,Eyebrows
2 Week Natural Fill,Eyelashes
"Brow Shaping ( waxing and tweezing), Brow Tint, Lash tint","Eyebrows, Eyelashes"
"Partial highlights, Women's dry cut","Highlights, Women's Haircut"
Quick 30 min Eyelash Fill,Eyelashes
YUMILash Lift and Tint,Eyelashes
"Glaze, Women's cut",Women's Haircut
(Basic) Loc Maintenance,Locs
"Men's Cut, Manicure",Men's Haircut
Color,Hair Color
"Color, Glaze add on, Bang trim",Women's Haircut
"Root Touchup, Women's Cut",Hair Color
"Full sew-ins extensions, Extension removal, Eyebrows, Hair trim","Weaves, Waxing, Women's Haircut"
"Root touch up, Haircut",Hair Color
"Women's Cut, Retouch Color (single process)",Women's Haircut
"Retouch Color with blowdry, Traditional Balayage",Women's Haircut
Traditional Sew In,Extensions
Appointments,Men's Haircut
"Toner, Highlights",Hair Color
"Men’s regular haircut and   Beard shape up, Women' s cut","Barber, Women's Haircut"
2 Braids,Braids
"Balayage, Men's Cut","Highlights, Men's Haircut"
Handmade Crochet Goddess Loc,Braids
"Gel polish WITHOUT removal, Nail Art",Manicure
Box Braydz/ Med/ Long  (ladiez),Braids
"Custom Facial, Facial",Skincare
"Loc retwist, Loc style, Extra new growth","Twists, Locs"
"blowout, MOROCCAN OIL SMOOTHING EXPERIENCE",Style
Box Braids Medium Mid-Back (TouchUp),Braids
"Women's Cut, Full Color, Eyebrow wax","Women's Haircut, Eyebrows"
"Crochet, Hair wash",Braids
"Acrylic full set pink, Spa Pedicure",Pedicure
Color,Extensions
"Brow, Lip, Chin and Neck Wax, Eyebrow Tinting",Eyebrows
"All Over Color, Mid Length Cut",Hair Color
"Head &beard lineup combo *line only, Temp Color & hair fiber enhancement","Barber, Men's Haircut"
"Acrylic Fill, Gel Polish, Manicure - Nail Art",Manicure
"2 -3 colors, Women's Trim","Hair Color, Women's Haircut"
"French or Colored nail fill, Spa pedicure",Pedicure
"Women's Cut, Hilights/Lowlights-Full",Women's Haircut
BLOW & SILK {Medium},"Hair Treatments, Natural Hair, Sets & Styles, Style, Women's Haircut"
Silk Press(no relaxer),Natural Hair
"Women's Cut, wax",Women's Haircut
Neck - skin discoloration Hyperpig,Skincare
Two Strand Twist and Maintenance,"Locs, Style"
"Partial Highlights, Single Process Color","Highlights, Hair Color"
Silk Press ( sham and trim included,Natural Hair
THE WORKS FILL IN (medium),Manicure
"Full Color, Gloss, Eyebrow wax",Eyebrows
"Straight hair haircut, Eyebrow Wax, Brow tint, Chin wax","Eyebrows, Waxing"
Women's  cut & style,Women's Haircut
Traditional Install (2-3 bundles),Style
"Mens Cut, Back Wax","Men's Haircut, Waxing"
Blowout/Low Drop Fade/Temp Fade/,"Barber, Men's Haircut"
Men's Cut with razor,Barber
"Trim, All over color",Hair Color
"DEEP CONDITIONING STEAM TREAT, Crochet Braids, Take down","Hair Treatments, Braids"
Locs,Twists
"Relaxer, Semi/Demi Color",Relaxers
"Haircut ( Only Police, Fireman, Military)",Men's Haircut
Weave maintenance dep.$30,Weaves
Silk wrap/Flat iron,Style
2 colors Ombré refills,Manicure
"Women's Cut, Partial Highlight/Lowlight","Women's Haircut, Highlights"
WOMENS cut,Women's Haircut
"SILK PRESS PACKAGE, OMBRÉ",Natural Hair
"Shampoo/Style, Trim added to service","Sets & Styles, Style, Women's Haircut"
"Full Set(short), Pedicure","Manicure, Pedicure"
"Root Touch Up, Ultimate  Treatment","Hair Color, Hair Treatments"
Lace closures,Weaves
"Add gel polish to your Pedicure, Basic Pedicure, Gel manicure",Manicure
"Brazilian Blowout Express, Short Cut",Hair Treatments
Finger waves,Natural Hair
"Partial Set of Lash Extension Refill (2 weeks), Beautisculpt  ICE",Wellness
"Law & Military Personnel, Beard Trim",Barber
"Kids Box Braids, Scalp Treatment","Braids, Hair Treatments"
Crochet Junk Locs,Braids
"Relaxer Touch Up, Press and Curl, Marq B Haircut","Relaxers, Natural Hair, Women's Haircut"
"Women's Cut, Area hilites",Women's Haircut
"Root Touchup, Natural Keratin Smoothing Treatment",Hair Color
"Womens Haircut, Eye Brow Wax, Upper Lip Wax",Eyebrows
Full Minimal Leave Out,Weaves
Signature Cut,"Men's Haircut, Natural Hair, Women's Haircut"
"Sewin Maintenance, Zonal color",Weaves
"$45 glam set, Pedicure",Pedicure
"Woman haircut, shampoo and style, Partial Balayage",Highlights
"Deep Penetrating Steam Treatment, Brow Wax",Waxing
"Intermediate Nail Art, Acrylic Fill",Manicure
sew in with closure,Extensions
Retwist Only,Locs
"Eyelash perm and tint, Brow Tint",Eyebrows
"Brow shaping, Brow or lash tinting",Eyebrows
"Women's Cut, Shampoo & Go, Hydration Treatment",Women's Haircut
Closure Pronto,Weaves
"Low Lights, Woman Haircut, Shampoo & Style",Highlights
root touch up,Highlights
Relaxer/style,Relaxers
"Highlights or Custom Balayage, Brazilian Blowout",Straightening Treatments
"Frontal Install, *$15 DEPOSIT REQUIRED*","Weaves, Women's Haircut"
"Natural Shampoo & Hair Artistry, Carbon Treatment","Natural Hair, Twists, Hair Treatments"
"Silk press, Take Down",Natural Hair
"Press & Curl, Basic trim","Natural Hair, Women's Haircut"
"Spa Pedi, Spa Manicure, Shellac Polish",Manicure
Classic  Extensions,Eyelashes
"Glamour lashes, Manual shading touchup",Eyebrows
"Quick Weave, Protein/Reconstructive","Weaves, Hair Treatments"
"Ladies Full Service Haircut, Eye Brow Wax",Eyebrows
Basic cut,Barber
"Women's Cut, Permanent Color, Men's Cut all even","Women's Haircut, Hair Color, Men's Haircut"
Loc Maintenance Medium,Locs
"Brazilian Maintenance (returning: done w/in 4 wks), Brow Wax",Eyebrows
"Eyelash Tint, Eyebrow Wax Shaping",Eyelashes
Small knotless Braids,Braids
"Braids, Extensions","Braids, Extensions"
"Fill-In(acrylic), Fill(nudes 4 you), Pedi",Manicure
Cornrows (no extensions),Braids
Afro with Beard,Barber
Hybrid full set,Extensions
"No chip manicure, Nail Soak-off/removal",Manicure
"Permanent Color, Women's Cut, Spill","Hair Color, Women's Haircut, Highlights"
"Brow wax, Chin Wax","Eyebrows, Waxing"
"Lavender Slushy Pedicure, *add gel polish to a pedicure service",Pedicure
"Partial Highlight, Toner, Hair Cut","Highlights, Hair Color, Women's Haircut"
Press&Curl,Natural Hair
loc extensions,Extensions
"Men's Cut, Child's cut, Brow Wax","Men's Haircut, Eyebrows"
"Shampoo and style, Woman's cut, Accent foils, Wax",Sets & Styles
"Sew in maintenance, Basic Haircut",Weaves
(AH) Men's Haircut & FaceTrim,Men's Haircut
"All Over Color, Additional Extension Add-On, Shampoo and Style, Relaxer Touch Up, Women's Trim","Hair Color, Style, Sets & Styles, Relaxers, Women's Haircut"
"Relaxer, XTC hair loss product",Relaxers
"Root touch up, Men's Haircut",Hair Color
"Eye brow wax, Womens Haircut with Shampoo, Senior haircut, Newgrowth Retouch",Eyebrows
"Acrylic Fullset (Coffin, Almond, Stiletto), Acrylic Fill",Manicure
"Shampoo and Blow dry, Toner",Hair Color
"Relaxer Touch-Up, Demi color",Relaxers
1 Week Volume Fill,Eyelashes
"All over Color Plus Foils, Eyebrow Wax",Eyebrows
"Blow Out, Intensive Smoothing Mask, Natural Shampoo & Condition",Style
"Full Arm Wax, Eyebrow Wax",Eyebrows
"Wash, Blow, & Cut, Add on Deep Condition","Style, Women's Haircut"
"Crochet Braids, Shampoo and style","Braids, Sets & Styles"
Sew-In w/ Lace Closure,Weaves
"Loc Maintenance Palm Roll, Grey coverage, Loc Style",Locs
FILL - Natural Set (2-4 Weeks),Eyelashes
Haircut w/ Beard Trim,Barber
"Interlocking- Traditional Locs, Hot Oil Treatment",Natural Hair
Feed-In Braided Bun (Large),Braids
"Traditional Sew In TUES/WEDS, Strip Lashes",Eyelashes
Acrylic OVERLAY (CLEAR),Manicure
"Double Process, Women's Haircut, Eyebrow Wax",Eyebrows
2 strand twist style (natural hair),Natural Hair
"Women's Cut includes Shampoo/Blowdry, Color Retouch - Get Rid of Roots, Vital Shot, Partial Foil - No Toner, Toner","Women's Haircut, Hair Color, Hair Treatments, Highlights"
Full color and cut,Hair Color
"2 week fill 8-14 days, Thermal Styles",Style
"TouchUpRlxr for Sensitive Sclp, Semi Permanent Color",Hair Color
"Gel Polish Manicure, polish change, Nail Design",Manicure
"Comb Twist, CC fee1",Twists
"WOMEN'S PRECISION CUT, MEN'S CUT, MEN'S COLOR SERVICE",Men's Haircut
"Eyebrow Wax, Lip Wax, Chin Wax, 1-Hour Rapid Spray Tan","Eyebrows, Waxing"
"All over color, Add haircut with a color service",Hair Color
